Year,Countries and Territories,Import Value (EUR Thousand),Export Value (EUR Thousand),Balance (Euro Million)
2021,Russia,44549.0,57620.0,13.071
2021,Saudi Arabia,329.0,108373.0,108.044
2021,Singapore,7466.0,33778.0,26.312
2021,Slovakia,3358.0,12803.0,9.445
2021,Slovenia,2945.0,6443.0,3.498
2021,South Africa,41111.0,70408.0,29.297
2021,South Korea,2816.0,39726.0,36.91
2021,Spain,265608.0,272646.0,7.038
2021,Sweden,32911.0,211095.0,178.184
2021,Switzerland,55611.0,89349.0,33.738
2021,Taiwan,2130.0,27443.0,25.313
2021,Thailand,56694.0,50987.0,-5.707
2021,Turkey,20104.0,73800.0,53.696
2021,USA,351006.0,1158656.0,807.65
2022,Australia,33662.0,112213.0,78.551
2022,Austria,63582.0,23409.0,-40.173
2022,Belgium,389245.0,409724.0,20.479
2022,Brazil,292007.0,13008.0,-278.999
2022,Bulgaria,3031.0,23103.0,20.072
2022,Canada,222959.0,165472.0,-57.487
2022,China,143647.0,682730.0,539.083
2022,Croatia,7585.0,14736.0,7.151
2022,Cyprus,2606.0,12032.0,9.426
2022,Czech Republic,15976.0,60487.0,44.511
2022,Denmark,110797.0,167591.0,56.794
2022,Estonia,414.0,2608.0,2.194
2022,Finland,10303.0,21907.0,11.604
2022,France,689975.0,1164144.0,474.169
2022,Germany,854466.0,1004982.0,150.516
2022,Great Britain,2579554.0,4220239.0,1640.685
2022,Greece,19798.0,47496.0,27.698
2022,Hungary,9148.0,19697.0,10.549
2022,India,76862.0,22912.0,-53.95
2022,Italy,257100.0,498741.0,241.641
2022,Japan,5340.0,196052.0,190.712
2022,Latvia,21220.0,51596.0,30.376
2022,Lithuania,33748.0,11353.0,-22.395
2022,Luxembourg,1262.0,9802.0,8.54
2022,Malaysia,116974.0,58479.0,-58.495
2022,Malta,1269.0,15115.0,13.846
2022,Mexico,14122.0,25502.0,11.38
2022,Netherlands,1310951.0,1530246.0,219.295
2022,Northern Ireland,1766853.0,1876370.0,109.517
2022,Norway,38539.0,15318.0,-23.221
2022,Poland,342803.0,190952.0,-151.851
2022,Portugal,31993.0,69220.0,37.227
2022,Romania,14314.0,61555.0,47.241
2022,Russia,55629.0,15083.0,-40.546
2022,Saudi Arabia,470.0,92091.0,91.621
2022,Singapore,14286.0,43402.0,29.116
2022,Slovakia,3322.0,15435.0,12.113
2022,Slovenia,3669.0,11687.0,8.018
2022,South Africa,52718.0,89492.0,36.774
2022,South Korea,3447.0,63829.0,60.382
2022,Spain,313767.0,358725.0,44.958
2022,Sweden,30974.0,240104.0,209.13
2022,Switzerland,68389.0,111669.0,43.28
2022,Taiwan,2770.0,29110.0,26.34
2022,Thailand,93189.0,53450.0,-39.739
2022,Turkey,26314.0,68844.0,42.53
2022,USA,530225.0,1566668.0,1036.443
2023,Australia,33803.9874,86706.291,52.902303599999996
2023,Austria,61461.577000000005,28303.815799999997,-33.15776120000001
2023,Belgium,490955.5654,375345.28550000006,-115.61027989999997
2023,Brazil,199229.8011,12125.061,-187.10474010000001
2023,Bulgaria,15289.1205,34043.2848,18.7541643
2023,Canada,254776.1413,133107.718,-121.6684233
2023,China,141788.9922,631360.195,489.5712028
2023,Croatia,8213.7466,15807.811,7.5940644
2023,Cyprus,3674.972,13815.2192,10.1402472
2023,Czech Republic,20623.7599,65022.2516,44.3984917
2023,Denmark,137128.6092,166539.7887,29.4111795
2023,Estonia,706.9444,3781.8986,3.0749542
2023,Finland,7360.931600000001,21939.0106,14.578079
2023,France,719763.3961,1125142.8392,405.37944310000006
2023,Germany,907217.9811,872018.7159,-35.19926520000002
2023,Great Britain,2871719.6269,4317633.654999999,1445.9140280999993
2023,Greece,23312.0015,60835.977900000005,37.52397640000001
2023,Hungary,11308.8302,20304.8434,8.996013200000002
2023,India,87311.9848,20854.702999999998,-66.45728180000002
2023,Italy,302223.3193,486323.1385,184.0998192
2023,Japan,4893.742200000001,164948.817,160.0550748
2023,Latvia,27138.955899999997,49928.0286,22.789072700000002
2023,Lithuania,37141.3404,17905.0141,-19.2363263
2023,Luxembourg,2802.9666,9269.850999999999,6.466884399999999
2023,Malaysia,85242.02900000001,51361.642,-33.88038700000001
2023,Malta,1203.0027,17272.4129,16.0694102
2023,Mexico,12793.177500000002,28572.944,15.779766499999997
2023,Netherlands,1446314.6430000002,1428664.7102,-17.64993280000007
2023,Northern Ireland,1727160.5048,1957788.3109,230.62780609999993
2023,Norway,61434.32889999999,17263.239,-44.17108989999999
2023,Poland,408729.6495,273011.8013,-135.71784820000002
2023,Portugal,47721.0455,88856.8495,41.13580399999999
2023,Romania,18505.704299999998,73246.0972,54.7403929
2023,Russia,39019.8641,24817.974,-14.2018901
2023,Saudi Arabia,427.9486,119027.095,118.5991464
2023,Singapore,12427.9842,35225.697,22.797712800000003
2023,Slovakia,2844.511,14018.0529,11.1735419
2023,Slovenia,4348.6448,13965.9302,9.6172854
2023,South Africa,63578.39319999999,82276.313,18.697919800000005
2023,South Korea,3550.6279,39264.239,35.7136111
2023,Spain,378752.94779999997,325334.0907,-53.41885709999996
2023,Sweden,37829.264299999995,212564.8139,174.73554960000004
2023,Switzerland,80342.109,99331.722,18.989613
2023,Taiwan,2326.2556,34759.604999999996,32.4333494
2023,Thailand,100180.49470000001,59451.402,-40.72909270000001
2023,Turkey,28636.874799999998,76548.469,47.911594199999996
2023,USA,509021.9708,1461808.083,952.7861122
2024,Australia,31750.429,88730.67599999999,56.98024699999999
2024,Austria,61938.994099999996,35941.4473,-25.997546799999995
2024,Belgium,451071.2518,391497.89560000005,-59.57335619999998
2024,Brazil,230074.287,12351.08,-217.72320700000003
2024,Bulgaria,17776.3228,28669.627399999998,10.893304599999995
2024,Canada,228761.2774,164647.227,-64.11405039999998
2024,China,180296.7535,572404.485,392.1077315
2024,Croatia,7284.921,17880.670299999998,10.595749299999998
2024,Cyprus,3834.8773,18776.0062,14.941128899999999
2024,Czech Republic,24650.488699999998,68952.5166,44.3020279
2024,Denmark,116654.6319,141391.4785,24.736846600000003
2024,Estonia,9329.2402,2780.5426,-6.5486976
2024,Finland,15080.2058,23116.4084,8.036202600000001
2024,France,755783.3714000001,1192798.8519,437.01548049999985
2024,Germany,906879.6442,961865.8747,54.98623050000006
2024,Great Britain,3067870.3902000003,4573012.656,1505.1422658000001
2024,Greece,31529.9293,55117.7816,23.5878523
2024,Hungary,13183.3359,22717.2701,9.533934200000001
2024,India,79675.93119999999,39759.131,-39.91680019999999
2024,Italy,335740.1079,491694.69169999997,155.95458379999997
2024,Japan,4523.7755,162913.639,158.38986350000002
2024,Latvia,26681.883100000003,40479.728299999995,13.797845199999992
2024,Lithuania,39251.3821,14286.872200000002,-24.9645099
2024,Luxembourg,2132.4001,8813.226,6.6808259
2024,Malaysia,39349.2658,40017.816,0.6685501999999979
2024,Malta,1225.462,15747.7505,14.5222885
2024,Mexico,11997.014200000001,23329.262000000002,11.332247800000001
2024,Netherlands,1509644.2299000002,1561455.2099,51.81097999999975
2024,Northern Ireland,1830056.4964,2154643.6437,324.58714729999986
2024,Norway,63681.181200000006,12775.275000000001,-50.905906200000004
2024,Poland,453382.5941,292136.0591,-161.24653499999997
2024,Portugal,58288.3633,97944.8888,39.6565255
2024,Romania,19331.2834,68294.42,48.9631366
2024,Russia,23875.1234,25632.516,1.7573925999999993
2024,Saudi Arabia,1321.2485,91796.25200000001,90.4750035
2024,Singapore,12625.935800000001,39537.609,26.9116732
2024,Slovakia,2438.3338,15174.5069,12.7361731
2024,Slovenia,4179.4383,19140.028599999998,14.960590299999998
